epoch,loss
1,365.354370
2,310.825623
3,266.276764
4,232.406250
5,209.116852
6,195.670609
7,190.575851
8,191.538742
9,195.706696
10,200.261490
11,203.072235
12,202.986267
13,199.935577
14,194.583191
15,187.786163
16,180.675049
17,174.177338
18,168.928696
19,165.226059
20,163.030701
21,162.006912
22,161.632935
23,161.342636
24,160.663177
25,159.296295
26,157.158920
27,154.361008
28,151.146637
29,147.792007
30,144.574371
31,141.705307
32,139.287537
33,137.302795
34,135.636688
35,134.140854
36,132.647949
37,130.994980
38,129.097046
39,126.958282
40,124.657692
41,122.318550
42,120.079575
43,118.059563
44,116.305809
45,114.773277
46,113.354439
47,111.929710
48,110.500748
49,108.969635
50,107.329521
51,105.664597
52,104.100067
53,102.713799
54,101.502312
55,100.406662
56,99.321388
57,98.167160
58,96.935143
59,95.685165
60,94.491272
61,93.407043
62,92.420921
63,91.478958
64,90.508614
65,89.481285
66,88.418449
67,87.365074
68,86.439674
69,85.621796
70,84.820732
71,83.954521
72,83.036003
73,82.129837
74,81.314163
75,80.601112
76,79.943336
77,79.274445
78,78.578796
79,77.900108
80,77.275208
81,76.685562
82,76.087944
83,75.463341
84,74.838486
85,74.237801
86,73.653488
87,73.044067
88,72.399574
89,71.742828
90,71.142426
91,70.583092
92,70.022438
93,69.457680
94,68.929512
95,68.455788
96,68.009804
97,67.562538
98,67.125397
99,66.722275
100,66.345932
101,65.970108
102,65.593788
103,65.239136
104,64.910774
105,64.591110
106,64.271637
107,63.963017
108,63.671715
109,63.388298
110,63.104042
111,62.827190
112,62.565571
113,62.312469
114,62.061016
115,61.816299
116,61.578926
117,61.344505
118,61.107391
119,60.869129
120,60.632076
121,60.398380
122,60.165085
123,59.935299
124,59.714031
125,59.499302
126,59.288841
127,59.086372
128,58.891483
129,58.702312
130,58.522625
131,58.350319
132,58.182663
133,58.020229
134,57.862255
135,57.707268
136,57.555256
137,57.406654
138,57.260445
139,57.116779
140,56.975964
141,56.837643
142,56.702087
143,56.569572
144,56.439339
145,56.311577
146,56.185993
147,56.062431
148,55.941212
149,55.822319
150,55.705345
